article_id,sales_channel_id,month_ts,demand,mean_price,detail_desc,product_type_name,graphical_appearance_name,colour_group_name,index_group_name,garment_group_name,lag_m1,price_change,month_num,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,channel_1,channel_2
108775044,1,2018-10-01,297,0.007938538,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,166.0,0.00028487200000000025,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0
108775044,1,2018-11-01,178,0.007983622,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,297.0,4.5083999999999055e-05,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0
108775044,1,2018-12-01,140,0.008095157,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,178.0,0.00011153500000000115,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0
108775044,1,2019-01-01,140,0.008129782,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,140.0,3.4624999999999934e-05,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2019-02-01,212,0.007894867,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,140.0,-0.00023491500000000047,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2019-03-01,212,0.008316038,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,212.0,0.0004211709999999997,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2019-04-01,246,0.007976368,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,212.0,-0.00033967000000000025,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
108775044,1,2019-05-01,291,0.008001223,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,246.0,2.485500000000071e-05,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
108775044,1,2019-06-01,129,0.00803311,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,291.0,3.188699999999954e-05,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
108775044,1,2019-07-01,33,0.007985619,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,129.0,-4.74910000000002e-05,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
108775044,1,2019-08-01,8,0.008457627,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,33.0,0.0004720080000000012,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0
108775044,1,2019-09-01,3,0.007706215,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,8.0,-0.0007514120000000008,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108775044,1,2019-10-01,6,0.007884181,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,3.0,0.00017796600000000076,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0
108775044,1,2019-11-01,7,0.006845036,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,6.0,-0.0010391450000000009,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0
108775044,1,2019-12-01,6,0.003951977,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,7.0,-0.002893059,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0
108775044,1,2020-01-01,12,0.004364407,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,6.0,0.0004124300000000001,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2020-02-01,1,0.002576271,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,12.0,-0.0017881359999999996,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2020-03-01,2,0.004389831,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,1.0,0.00181356,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
108775044,1,2020-05-01,5,0.004186441,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,2.0,-0.00020339000000000034,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
108775044,1,2020-06-01,4,0.003233051,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,5.0,-0.0009533900000000001,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
108775044,1,2020-08-01,3,0.004050847,Jersey top with narrow shoulder straps.,Vest top,Solid,White,Ladieswear,Jersey Basic,4.0,0.000817796,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0
