userId,title,rating
1,The Shawshank Redemption,3
1,The Godfather,3
1,The Dark Knight,3
1,Pulp Fiction,3
1,Forrest Gump,2
1,The Matrix,3
1,Fight Club,1
1,Inception,1
1,The Silence of the Lambs,3
1,Se7en,2
1,The Usual Suspects,1
1,Gladiator,3
1,Saving Private Ryan,1
1,The Green Mile,2
1,Schindler's List,3
1,Braveheart,3
1,The Departed,1
1,Interstellar,3
1,The Prestige,4
1,Django Unchained,2
1,The Lion King,4
1,Toy Story,4
1,Finding Nemo,4
1,Up,1
1,Inside Out,3
1,Frozen,3
1,Moana,1
1,WALL-E,2
1,Monsters Inc,3
1,Titanic,3
1,Avatar,3
1,The Avengers,3
1,Iron Man,3
1,Spider-Man,4
1,Batman Begins,3
1,Wonder Woman,2
1,Pride and Prejudice,5
1,La La Land,4
1,A Star Is Born,4
1,Crazy Rich Asians,4
1,The Fault in Our Stars,4
1,Me Before You,5
1,Superbad,4
1,The Hangover,4
1,Bridesmaids,4
1,Step Brothers,3
1,Anchorman,5
1,Wedding Crashers,4
1,Mean Girls,5
1,21 Jump Street,4
1,Tropic Thunder,4
1,The Conjuring,3
1,A Quiet Place,3
1,It,2
1,Hereditary,3
1,The Exorcist,4
1,The Shining,3
1,Scream,4
1,Nightmare on Elm Street,3
2,The Shawshank Redemption,3
2,The Dark Knight,4
2,Forrest Gump,2
2,Goodfellas,3
2,Fight Club,3
2,Se7en,3
2,The Usual Suspects,3
2,The Green Mile,3
2,Memento,3
2,Django Unchained,3
2,Up,2
2,Moana,1
2,Coco,3
2,Spider-Man,3
2,Wonder Woman,3
2,Guardians of the Galaxy,3
2,Pride and Prejudice,1
2,La La Land,3
2,Crazy Rich Asians,3
2,The Fault in Our Stars,3
2,Me Before You,2
2,The Hangover,4
2,Bridesmaids,4
2,Step Brothers,4
2,Anchorman,5
2,Wedding Crashers,5
2,Mean Girls,4
2,21 Jump Street,4
2,Tropic Thunder,5
2,The Conjuring,4
2,Get Out,5
2,A Quiet Place,4
2,It,4
2,Hereditary,4
2,The Exorcist,4
2,The Shining,4
2,Halloween,4
2,Scream,4
2,Nightmare on Elm Street,4
3,The Godfather,1
3,The Matrix,2
3,Goodfellas,3
3,Fight Club,3
3,The Silence of the Lambs,3
3,Se7en,3
3,The Usual Suspects,2
3,Gladiator,3
3,Saving Private Ryan,3
3,The Green Mile,3
3,Interstellar,3
3,The Prestige,3
3,Memento,1
3,The Lion King,3
3,Toy Story,2
3,Finding Nemo,3
3,Frozen,2
3,Coco,4
